9, 77, 80
29, 67, 69
46, 66, 61
63, 70, 53
79, 83, 46
85, 78, 53
77, 72, 58
70, 66, 63
66, 63, 66
64, 62, 68
62, 61, 70
58, 60, 72
53, 60, 73
50, 57, 74
48, 59, 78
45, 60, 79
42, 59, 81
39, 60, 83
36, 60, 84
34, 61, 86
32, 62, 89
28, 64, 93
26, 65, 95
24, 66, 98
20, 69, 101
16, 72, 103
16, 74, 99
15, 75, 96
15, 76, 92
14, 76, 89
13, 77, 87
11, 78, 84
9, 77, 82
8, 76, 80
